Результаты параллельного умножения матриц (OpenMP)
================================================================================
Размер     Потоки   Время(с)     GFLOPS     Ускорение    Эффективность  
--------------------------------------------------------------------------------
200        1        0.0048       3.37       1.00         1.00           
200        2        0.0037       4.37       1.30         0.65           
200        4        0.0023       6.95       2.06         0.52           
200        8        0.0017       9.54       2.83         0.35           
400        1        0.0487       2.63       1.00         1.00           
400        2        0.0257       4.98       1.89         0.95           
400        4        0.0146       8.74       3.32         0.83           
400        8        0.0119       10.79      4.10         0.51           
800        1        0.5565       1.84       1.00         1.00           
800        2        0.2778       3.69       2.00         1.00           
800        4        0.1397       7.33       3.98         1.00           
800        8        0.0908       11.27      6.13         0.77           
1200       1        1.9673       1.76       1.00         1.00           
1200       2        1.0285       3.36       1.91         0.96           
1200       4        0.6024       5.74       3.27         0.82           
1200       8        0.3441       10.04      5.72         0.71           
1600       1        12.5277      0.65       1.00         1.00           
1600       2        7.2933       1.12       1.72         0.86           
1600       4        1.6615       4.93       7.54         1.89           
1600       8        0.9739       8.41       12.86        1.61           
2000       1        25.8833      0.62       1.00         1.00           
2000       2        10.9213      1.47       2.37         1.18           
2000       4        5.1584       3.10       5.02         1.25           
2000       8        3.2909       4.86       7.87         0.98           
================================================================================
