# Результаты умножения матриц с использованием CUDA
# Размер	Конфигурация	Время(сек)	GFLOPS
200	8x8	0.000368192	43.4556
200	16x16	0.000197632	80.9585
200	32x32	0.000350496	45.6496
400	8x8	0.0013479	94.9623
400	16x16	0.0013327	96.0453
400	32x32	0.00150624	84.9798
800	8x8	0.010469	97.813
800	16x16	0.0103815	98.6373
800	32x32	0.0106172	96.4474
1200	8x8	0.0387077	89.2846
1200	16x16	0.0383123	90.2061
1200	32x32	0.0392648	88.0177
1600	8x8	0.091601	89.4313
1600	16x16	0.0906848	90.3349
1600	32x32	0.0745306	109.915
2000	8x8	0.16054	99.6639
2000	16x16	0.176953	90.4193
2000	32x32	0.15984	100.1
