СВОДНАЯ ТАБЛИЦА РЕЗУЛЬТАТОВ ПАРАЛЛЕЛЬНОГО УМНОЖЕНИЯ МАТРИЦ
Размер   | Проц.  | Время (сек)  | GFLOPS     | Ускор.   | Эфф. %  
----------------------------------------------------------------------------------------------------
200      | 1      | 0.002065     | 7.75       | 1.00     | 100.0   
200      | 2      | 0.002002     | 7.99       | 1.03     | 51.6    
200      | 4      | 0.001711     | 9.35       | 1.21     | 30.2    
200      | 8      | 0.001105     | 14.48      | 1.87     | 23.4    
400      | 1      | 0.017070     | 7.50       | 1.00     | 100.0   
400      | 2      | 0.009773     | 13.10      | 1.75     | 87.3    
400      | 4      | 0.005722     | 22.37      | 2.98     | 74.6    
400      | 8      | 0.003939     | 32.50      | 4.33     | 54.2    
800      | 1      | 0.126558     | 8.09       | 1.00     | 100.0   
800      | 2      | 0.067108     | 15.26      | 1.89     | 94.3    
800      | 4      | 0.052492     | 19.51      | 2.41     | 60.3    
800      | 8      | 0.063450     | 16.14      | 1.99     | 24.9    
1200     | 1      | 0.514796     | 6.71       | 1.00     | 100.0   
1200     | 2      | 0.348851     | 9.91       | 1.48     | 73.8    
1200     | 4      | 0.576145     | 6.00       | 0.89     | 22.3    
1200     | 8      | 0.397033     | 8.70       | 1.30     | 16.2    
1600     | 1      | 1.480270     | 5.53       | 1.00     | 100.0   
1600     | 2      | 1.130920     | 7.24       | 1.31     | 65.4    
1600     | 4      | 1.401910     | 5.84       | 1.06     | 26.4    
1600     | 8      | 0.979766     | 8.36       | 1.51     | 18.9    
2000     | 1      | 3.805510     | 4.20       | 1.00     | 100.0   
2000     | 2      | 2.388400     | 6.70       | 1.59     | 79.7    
2000     | 4      | 2.329630     | 6.87       | 1.63     | 40.8    
2000     | 8      | 2.073480     | 7.72       | 1.84     | 22.9    
